카테고리,상품명,제조사,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
김밥,전주비빔떡갈비김밥,(주)엘림데리카후레쉬,321,41.8,7.41,13.76,1249.0
샌드위치,에어로-무화과크림치즈샌드위치,다원푸드서비스(주)쉐프랑,100,7.59,10.34,3.45,2.0
샌드위치,크랜베리 닭가슴살 샌드위치,꾸움제과,142,19.5,11.22,2.14,252.0
샌드위치,시저치킨랩샌드위치,(주)현대그린푸드스마트푸드센터,125,16.85,6.21,3.62,309.0
샌드위치,3종샌드위치스프레드(B),(주)정미경키친,175,10.0,6.0,12.33,340.0
샌드위치,에그마요 샌드위치,주식회사 에프엠프렌즈,196,26.67,7.5,6.67,363.0
샌드위치,클래식 햄치즈 샌드위치,에스피엘주식회사,222,19.51,7.32,12.68,385.0
샌드위치,통밀칠리치킨샌드위치,㈜푸드코아,201,23.5,11.0,7.0,405.0
샌드위치,꾹쿡 올리브치킨 아삭샌드위치 2입,주식회사 온랩,191,15.47,7.17,11.21,424.0
샌드위치,BELT샌드위치,(주)후레쉬퍼스트,186,20.22,7.1,8.2,448.0
샌드위치,통밀 햄에그 3단샌드위치,에스피엘주식회사,218,23.53,8.24,10.0,465.0
샌드위치,K햄치즈샌드위치,(주)후레쉬퍼스트,145,18.97,5.75,5.17,481.0
샌드위치,건강한통밀치킨롤샌드위치,에스피엘주식회사,182,22.94,8.82,6.47,506.0
샌드위치,뉴빅케이준치킨햄샌드위치,(주)샌드팜,261,30.0,7.78,12.22,533.0
샌드위치,뚱드)햄치즈&크랩샌드위치,(주)후레쉬퍼스트,241,25.85,5.85,12.68,557.0
샌드위치,햄듬뿍샌드위치,(주)푸드코아,224,27.94,6.62,9.56,596.0
샌드위치,크래프트 에그슬라이스 샌드위치,㈜샌드팜,309,27.41,8.15,18.52,652.0
샌드위치,스크램블&콘치즈샌드위치,(주)샌드팜,230,28.28,7.59,9.66,1131.0
도시락,Allfresh하루과일도시락,올프레쉬농업회사법인(주),54,12.25,0.7,0.26,0.0
도시락,19곡밥과닭가슴살카레도시락,(주)에스런치,152,28.28,5.86,1.72,96.0
도시락,양송이크림스프뿌링클순살치킨도시락,(주)비엘푸드,93,15.73,2.89,2.06,116.0
도시락,단백질 도시락 포크 함박 스테이크,(주)메이크샐러드,150,22.38,5.48,4.29,121.0
도시락,타코야끼도시락,채선당도시락부산보건대점,84,15.02,3.49,1.15,193.0
